method,h,max error,mean error
Predictor-Corrector,0.05,9.132367413400289e-07,2.6938664570586295e-07
Predictor-Corrector,0.1,1.0934974348231208e-05,3.4250684617217634e-06
Predictor-Corrector,0.2,0.00010127901882928114,3.839071960853868e-05
