method,h,max error,mean error
Heun Order 3,0.05,7.0145750568073595e-06,4.33587402544175e-06
Heun Order 3,0.1,5.7340630508662116e-05,3.480584344244042e-05
Heun Order 3,0.2,0.0004796946576286487,0.0002794787266940329
