method,h,max error,mean error
RK4,0.05,4.421338575255618e-07,1.750639489551648e-07
RK4,0.1,6.990307323206935e-06,2.7768126948459127e-06
RK4,0.2,0.00010894984202192148,4.360721566426024e-05
