method,h,max error,mean error
Adams-Bashforth 4,0.05,1.3677676535372996e-05,3.7871673053352508e-06
Adams-Bashforth 4,0.1,0.00018456120388599118,4.976415240350492e-05
Adams-Bashforth 4,0.2,0.0020362308586054922,0.0005176880289313734
