method,h,max error,mean error
Taylor Order 2,0.05,0.002964436532219672,0.0008575468390873067
Taylor Order 2,0.1,0.01141062850251462,0.003363796216380256
Taylor Order 2,0.2,0.04221234175136779,0.012917043198324308
