method,h,max error,mean error
Adams-Moulton 3,0.05,2.149810636731253e-07,1.0728497571821554e-07
Adams-Moulton 3,0.1,2.5160502776233606e-06,1.1054666464642024e-06
Adams-Moulton 3,0.2,1.7360157199330928e-05,6.918366257364569e-06
