method,h,max error,mean error
Adams-Bashforth 4,0.05,3.2319311626949343e-06,1.6680401057210913e-06
Adams-Bashforth 4,0.1,4.401211637189428e-05,2.094531789080892e-05
Adams-Bashforth 4,0.2,0.0004782966193520033,0.00019081048903145208
