method,h,max error,mean error
Heun Order 3,0.05,2.168558901338713e-07,1.1099116319284648e-07
Heun Order 3,0.1,1.8173896110251775e-06,9.285992462914276e-07
Heun Order 3,0.2,1.543844515883297e-05,7.762411214079848e-06
