method,h,max error,mean error
Taylor Order 2,0.05,0.00017548095533459485,0.00010487779034716002
Taylor Order 2,0.1,0.0006946495787129026,0.0004084581632959735
Taylor Order 2,0.2,0.0027291342130100205,0.0015531470918719106
