method,h,max error,mean error
RK4,0.05,4.086168059469486e-08,2.9388568490203865e-08
RK4,0.1,6.299464022641033e-07,4.4892135929990163e-07
RK4,0.2,9.293536002319414e-06,6.503428774810513e-06
