method,h,max error,mean error
Predictor-Corrector,0.05,1.8914563149063923e-07,8.782601316991174e-08
Predictor-Corrector,0.1,2.1500369117855023e-06,8.338060605290707e-07
Predictor-Corrector,0.2,2.1163880276231506e-05,9.679148062500045e-06
