method,h,max error,mean error
Adams-Bashforth 4,0.05,0.006045486275617407,0.0011617829723459937
Adams-Bashforth 4,0.1,0.07630290037001686,0.014914203860200148
Adams-Bashforth 4,0.2,0.7306467150876372,0.1468161598081089
